provider        model                    context  max-out  thinking  images
cerebras        gemma-4-31b              131.1K   41.0K    yes       yes   
cerebras        gpt-oss-120b             131.1K   41.0K    yes       no    
cerebras        zai-glm-4.7              64K      32K      no        no    
github-copilot  claude-haiku-4.5         200K     64K      yes       yes   
github-copilot  claude-opus-4.6          1M       32K      yes       yes   
github-copilot  claude-opus-4.7          1M       32K      yes       yes   
github-copilot  claude-opus-4.8          1M       64K      yes       yes   
github-copilot  claude-sonnet-4.5        200K     32K      yes       yes   
github-copilot  claude-sonnet-4.6        1M       32K      yes       yes   
github-copilot  claude-sonnet-5          1M       128K     yes       yes   
github-copilot  gemini-2.5-pro           128K     64K      yes       yes   
github-copilot  gemini-3-flash-preview   128K     64K      yes       yes   
github-copilot  gemini-3.1-pro-preview   200K     64K      yes       yes   
github-copilot  gemini-3.5-flash         200K     64K      yes       yes   
github-copilot  gpt-5-mini               264K     64K      yes       yes   
github-copilot  gpt-5.3-codex            1M       128K     yes       yes   
github-copilot  gpt-5.4                  1M       128K     yes       yes   
github-copilot  gpt-5.4-mini             400K     128K     yes       yes   
github-copilot  gpt-5.5                  1M       128K     yes       yes   
github-copilot  mai-code-1-flash-picker  256K     128K     yes       no    
ollama          lfm2:latest              128K     16.4K    no        no    
ollama          qwen3.5:35b              128K     16.4K    no        no    
openai-codex    gpt-5.3-codex-spark      128K     128K     yes       no    
openai-codex    gpt-5.4                  272K     128K     yes       yes   
openai-codex    gpt-5.4-mini             272K     128K     yes       yes   
openai-codex    gpt-5.5                  272K     128K     yes       yes   
openai-codex    gpt-5.6-luna             272K     128K     yes       yes   
openai-codex    gpt-5.6-sol              272K     128K     yes       yes   
openai-codex    gpt-5.6-terra            272K     128K     yes       yes   
